sn_no ,english-hindi language,Hindi_Language,English_Language,Answers_from_ChatGpt_in_english,Hindi_Language_Answers,Tags,intent_id,category,problem_type,crop_stage,season,damage_level,local_terms,decision_logic
213,Makke me pillu ka upaay?,मक्के में पिल्लू का क्या उपाय है?,What is the remedy for stem borer in maize?,"For cannabis weed (bhang, Cannabis sativa) infestation in maize, controlling it is crucial as it can compete vigorously for resources. Manual removal or hand-pulling is highly effective, especially when the cannabis plants are young, and should be done before they set seeds to prevent further spread. For chemical control in maize, herbicides with active ingredients like atrazine (pre-emergent or early post-emergent) or 2,4-D (post-emergent, for broadleaf weeds) can provide control, depending on the maize growth stage and specific product labels. Always ensure the herbicide is safe for maize and follow application guidelines precisely to avoid crop injury.","मक्का में भांग (Cannabis sativa) जैसी खरपतवार का नियंत्रण जरूरी है क्योंकि यह पोषक तत्वों और पानी के लिए प्रतिस्पर्धा करती है। छोटे पौधों को हाथ से निकालना या खींचना सबसे प्रभावी होता है, विशेषकर जब बीज न बने हों। रासायनिक नियंत्रण के लिए मक्का में atrazine (pre-emergent या early post-emergent) या 2,4-D (post-emergent broadleaf weeds) युक्त हर्बिसाइड का उपयोग किया जा सकता है। हमेशा सुनिश्चित करें कि हर्बिसाइड मक्का के लिए सुरक्षित हो और उत्पाद लेबल में दिए गए खुराक और समय का सटीक पालन करें।",pest and disease management,MAIZE_STEM_BORER_CONTROL,pest,stem_borer_control,vegetative,kharif,severe,पिल्लू,If stem borer → apply whorl insecticide → spray if severe
214,Makke me sabse unnat prajati konsi hain?,मक्के में सबसे उन्नत प्रजाति कौन सी है?,What is the best high-yielding variety of maize?,"For stem borer in maize, an integrated pest management strategy is highly effective. At early growth stages (up to 3-4 weeks after emergence), granular insecticides containing active ingredients like chlorantraniliprole or carbofuran are highly recommended when applied into the whorl of the maize plants. These systemic chemicals are absorbed by the plant and target larvae as they feed. For later stages or larger infestations, foliar sprays with systemic action, such as those containing emamectin benzoate or spinosad, can be used. Cultural practices like destroying crop residues after harvest and deep plowing also significantly reduce overwintering pest populations.","मक्का में स्टेम बोरर के लिए एक समग्र कीट प्रबंधन (IPM) रणनीति बहुत प्रभावी है। शुरुआती वृद्धि अवस्था (उत्पत्ति के 3-4 सप्ताह तक) में, chlorantraniliprole या carbofuran जैसे सक्रिय घटक वाले दानेदार कीटनाशक whorl में लगाने की अत्यधिक सिफारिश की जाती है। ये प्रणालीगत रसायन पौधे द्वारा अवशोषित हो जाते हैं और लार्वा के खाने पर प्रभाव डालते हैं। बाद की अवस्थाओं या बड़े संक्रमण के लिए emamectin benzoate या spinosad युक्त प्रणालीगत फ़ोलिअर स्प्रे का उपयोग किया जा सकता है। फसल अवशेषों को काटना और गहरी जुताई जैसी सांस्कृतिक प्रथाएँ भी शीतकालीन कीट आबादी को काफी कम करती हैं।",seed systems,MAIZE_HIGH_YIELDING_VARIETY,seed,variety_recommendation,all,all,info,उन्नत प्रजाति,If variety asked → recommend region specific hybrid
215,Makke me sabse acchi variety konsi hain?,मक्के में सबसे अच्छी किस्म कौन सी है?,Which is the best variety of maize?,"Choosing the ""best"" high-yielding variety of maize depends significantly on various factors including the specific agro-climatic conditions of the region (e.g., rainfall, temperature, soil type), disease and pest pressure, and the farmer's specific needs (e.g., duration, end-use). In Telangana, India, reputable seed companies (both national and international) offer various high-yielding hybrids that are specifically bred for regional adaptability and resistance to common diseases and pests. It is always recommended to consult with local agricultural extension services or seed dealers, who can provide recommendations based on the latest research and local performance trials, considering factors like irrigated vs. rainfed conditions and desired maturity period.","उच्च उत्पादन देने वाली मक्का की ""सर्वोत्तम"" किस्म का चयन कई कारकों पर निर्भर करता है, जैसे क्षेत्र की जलवायु परिस्थितियाँ (बारिश, तापमान, मिट्टी का प्रकार), रोग और कीट दबाव, और किसान की विशिष्ट आवश्यकताएँ (जैसे अवधि, उपयोग का उद्देश्य)। तेलंगाना, भारत में, प्रतिष्ठित बीज कंपनियां राष्ट्रीय और अंतर्राष्ट्रीय स्तर पर क्षेत्रीय अनुकूलन और सामान्य रोगों व कीटों के प्रतिरोध के लिए विशेष रूप से विकसित विभिन्न उच्च उत्पादक हाइब्रिड प्रदान करती हैं। स्थानीय कृषि विस्तार सेवाओं या बीज विक्रेताओं से सलाह लेना हमेशा अनुशंसित है, जो नवीनतम अनुसंधान और स्थानीय प्रदर्शन परीक्षणों के आधार पर उचित सिफारिशें कर सकते हैं, जैसे सिंचित बनाम वर्षा आधारित स्थितियों और वांछित परिपक्वता अवधि।",seed systems,MAIZE_BEST_VARIETY,seed,variety_recommendation,all,all,info,अच्छी किस्म,If variety query → suggest high yielding hybrid
216,Makke me best variety konsi hain?,मक्के में सबसे अच्छी किस्म कौन सी है?,Which is the best maize variety?,"The ""best"" variety of maize is highly context-dependent, as it must align with local agro-climatic conditions, soil type, water availability, pest and disease prevalence, and the farmer's specific objectives (e.g., grain yield, silage, short duration, stress tolerance). In India, many high-yielding hybrid varieties from reputable seed companies are popular, offering different maturity periods and levels of resistance to regional challenges. Therefore, the best approach is to consult with local agricultural extension services or experienced seed suppliers, who can provide recommendations based on recent performance trials and suitability for your specific farming conditions.","मक्का की ""सर्वोत्तम"" किस्म बहुत हद तक स्थानीय कृषि-जलवायु परिस्थितियों, मिट्टी के प्रकार, पानी की उपलब्धता, कीट और रोगों की स्थिति, और किसान के विशिष्ट उद्देश्यों (जैसे अनाज उपज, सिलेज, कम अवधि, तनाव सहनशीलता) पर निर्भर करती है। भारत में, कई उच्च उपज देने वाली हाइब्रिड किस्में प्रतिष्ठित बीज कंपनियों द्वारा लोकप्रिय हैं, जो विभिन्न परिपक्वता अवधि और क्षेत्रीय चुनौतियों के प्रति प्रतिरोध प्रदान करती हैं। इसलिए, सबसे अच्छा तरीका यह है कि स्थानीय कृषि विस्तार सेवाओं या अनुभवी बीज विक्रेताओं से परामर्श लिया जाए, जो हाल के प्रदर्शन परीक्षणों और आपकी विशिष्ट खेती के लिए उपयुक्तता के आधार पर सिफारिशें दे सकें।
",seed systems,MAIZE_BEST_VARIETY_REPEAT,seed,variety_recommendation,all,all,info,बेस्ट किस्म,If repeated variety → recommend local tested hybrid
217,Makke kharpatwar ke liye konsi dawa hain?,मक्के में खरपतवार के लिए कौन सी दवा है?,What is the herbicide used for weeds in maize?,"The choice of the ""best"" maize variety is highly specific to the local agro-climatic conditions, soil type, water availability, pest and disease pressure, and the farmer's specific goals. In Telangana, India, farmers commonly choose among a range of high-yielding hybrid varieties offered by various seed companies. These hybrids are often bred for traits like drought tolerance, disease resistance (e.g., to Downy Mildew), and varying maturity durations. It is always advisable to consult with local agricultural extension officers or reputable seed dealers to identify varieties that have performed well in recent trials under similar conditions in your specific area, ensuring suitability for your particular farming system.","“सर्वोत्तम” मक्का की किस्म का चयन स्थानीय कृषि-जलवायु परिस्थितियों, मिट्टी के प्रकार, पानी की उपलब्धता, कीट और रोगों के दबाव, और किसान के विशिष्ट उद्देश्यों पर बहुत निर्भर करता है। तेलंगाना, भारत में किसान आमतौर पर विभिन्न बीज कंपनियों द्वारा पेश की गई उच्च उपज देने वाली हाइब्रिड किस्मों में से चुनते हैं। ये हाइब्रिड अक्सर सूखा सहनशीलता, रोग प्रतिरोध (जैसे डाउनि मील्ड्यू) और विभिन्न परिपक्वता अवधि जैसी विशेषताओं के लिए विकसित की जाती हैं। यह हमेशा सलाह दी जाती है कि स्थानीय कृषि विस्तार अधिकारियों या प्रतिष्ठित बीज विक्रेताओं से परामर्श लिया जाए ताकि उन किस्मों की पहचान की जा सके, जो हाल के परीक्षणों में समान परिस्थितियों में अच्छा प्रदर्शन कर चुकी हों और आपकी विशिष्ट खेती के लिए उपयुक्त हों।
",weed management,MAIZE_WEED_HERBICIDE,weed,herbicide_selection,all,all,moderate,खरपतवार दवा,If weeds → use pre or post herbicide
218,Raised bed aur conventional farming me kya diffrence hain?,रेज्ड बेड और पारंपरिक खेती में क्या अंतर है?,What is the difference between raised bed and conventional farming?,"For controlling weeds in maize, the choice of herbicide is crucial and depends on the types of weeds present (broadleaf, grassy, or sedges) and the growth stage of the maize crop. Pre-emergent herbicides like atrazine, pendimethalin, or S-metolachlor are commonly applied after sowing but before weeds emerge to prevent their germination. If weeds have already appeared, post-emergent herbicides such as nicosulfuron, mesotrione, or 2,4-D are then used, often in combinations to target a broader range of weeds. Always adhere strictly to the product label for dosage, application timing, and safety precautions to ensure effective weed control without harming the maize crop or the environment.","मक्का में खरपतवार नियंत्रण के लिए, हर्बिसाइड का चयन महत्वपूर्ण है और यह मौजूद खरपतवारों के प्रकार (ब्रोडलिफ़, घास जैसी, या सिज़ेज़) और मक्का की वृद्धि अवस्था पर निर्भर करता है। प्री-इमर्जेंट हर्बिसाइड जैसे एट्राज़ीन, पेंडिमेथालिन, या S-मेटोलाच्लोर आमतौर पर बुवाई के बाद लेकिन खरपतवार उगने से पहले लागू किए जाते हैं ताकि उनकी अंकुरण को रोका जा सके। यदि खरपतवार पहले ही उग चुके हैं, तो पोस्ट-इमर्जेंट हर्बिसाइड जैसे निकोसुल्फुरॉन, मेसोट्रियोन, या 2,4-डी का उपयोग किया जाता है, अक्सर व्यापक नियंत्रण के लिए संयोजन में। उत्पाद लेबल पर निर्दिष्ट मात्रा, आवेदन समय और सुरक्षा निर्देशों का कड़ाई से पालन करना आवश्यक है ताकि मक्का को नुकसान किए बिना और पर्यावरण की रक्षा करते हुए प्रभावी नियंत्रण सुनिश्चित किया जा सके।",planting techniques,CROP_RAISED_BED_VS_CONVENTIONAL,crop_management,raised_bed_vs_conventional,pre_sowing,all,info,रेज्ड बेड,If raised bed vs conventional → explain drainage and yield difference
219,Makke me asaman beej ugne ka kya kaaran hain?,मक्के में असमान बीज उगने का क्या कारण है?,What is the reason for uneven seed germination in maize?,"The difference between raised bed and conventional farming lies primarily in the soil preparation and water management practices. Conventional farming typically involves extensive tillage across the entire field, often leading to soil compaction, erosion, and higher water loss through evaporation. Planting occurs on a flat surface or in furrows. In contrast, raised bed farming involves creating elevated planting beds, often permanent, separated by furrows or pathways. This method improves soil aeration and drainage in the root zone, reduces soil compaction (as foot traffic is confined to furrows), allows for more efficient irrigation (e.g., drip irrigation in beds), and can lead to better root development, ultimately conserving water and potentially increasing yield.","उठे हुए बिस्तर (Raised Bed) और पारंपरिक खेती में मुख्य अंतर मिट्टी की तैयारी और जल प्रबंधन प्रथाओं में होता है। पारंपरिक खेती में आमतौर पर पूरे खेत में अधिक जुताई होती है, जिससे मिट्टी का संपीड़न, कटाव और अधिक पानी की वाष्पीकरण से हानि होती है। पौधे फ्लैट सतह या नालियों में लगाए जाते हैं। इसके विपरीत, उठे हुए बिस्तर में ऊँचे रोपण बिस्तर बनाए जाते हैं, जो अक्सर स्थायी होते हैं और नालियों या रास्तों द्वारा अलग किए जाते हैं। इस विधि से जड़ क्षेत्र में मिट्टी की हवा और जल निकासी बेहतर होती है, मिट्टी का संपीड़न कम होता है (पदचाप केवल नालियों तक सीमित रहता है), सिंचाई अधिक कुशल होती है (जैसे बिस्तरों में ड्रिप इरिगेशन), और बेहतर जड़ विकास संभव होता है, जिससे पानी की बचत होती है और उपज बढ़ सकती है।",seed systems,MAIZE_UNEVEN_GERMINATION,crop_management,uneven_germination,germination,all,moderate,असमान अंकुरण,If uneven germination → check depth moisture seed quality
220,Makke me karpatwar ka niyantaran kese kare?,मक्के में खरपतवार का नियंत्रण कैसे करें?,How to control weeds in maize?,"Uneven seed germination in maize can be attributed to several factors that create inconsistent conditions across the field. Common reasons include variable planting depth (some seeds too shallow, others too deep), uneven soil moisture (dry spots or waterlogged areas), inconsistent soil temperature (especially in early spring with fluctuating temperatures), poor seed-to-soil contact due to cloddy seedbeds, crusted soil surface preventing emergence, or variability in seed quality (e.g., different vigor levels). The remedy involves ensuring proper seedbed preparation for uniform soil conditions, precise planter calibration for consistent depth and spacing, and sowing when soil moisture and temperature are optimal for germination.","मक्का में अनियमित बीज अंकुरण के कई कारण हो सकते हैं, जो खेत में असमान परिस्थितियाँ उत्पन्न करते हैं। सामान्य कारणों में शामिल हैं: बुवाई की गहराई में भिन्नता (कुछ बीज बहुत उथले, कुछ बहुत गहरे), असमान मिट्टी की नमी (सूखी जगहें या जलभराव वाले क्षेत्र), असंगत मिट्टी का तापमान (विशेषकर शुरुआती वसंत में तापमान में उतार-चढ़ाव), क्लॉडी बीजबेड के कारण बीज-मिट्टी संपर्क का कमजोर होना, मिट्टी की सतह का क्रस्ट बन जाना जो अंकुरण रोकता है, या बीज की गुणवत्ता में भिन्नता (जैसे विभिन्न जीवंतता स्तर)। समाधान के लिए बीजबेड को समान मिट्टी की परिस्थितियों के लिए ठीक तरह से तैयार करना, प्लांटर को सही गहराई और अंतराल के लिए कैलिब्रेट करना, और बीज बोने का समय मिट्टी की नमी और तापमान के अनुकूल चुनना आवश्यक है।",weed management,MAIZE_WEED_CONTROL,weed,weed_control,vegetative,kharif,moderate,खरपतवार,If weeds → mechanical + herbicide control
221,Makke me tana chhedak ka kya upaay hain?,मक्के में तना छेदक का क्या उपाय है?,What is the remedy for stem tunneling insects in maize?,"Controlling weeds in maize effectively requires an integrated approach combining cultural, mechanical, and chemical methods. Cultural practices include proper seedbed preparation, timely sowing, and maintaining optimal maize plant density to allow the crop to outcompete weeds. Mechanical weeding through inter-cultivation or manual removal is effective, especially in the early growth stages. For chemical control, pre-emergent herbicides such as atrazine, pendimethalin, or S-metolachlor can be applied after sowing but before weed emergence. Post-emergent herbicides like nicosulfuron, mesotrione, or 2,4-D are then used to control emerged broadleaf and grassy weeds, always adhering to label recommendations for safe and effective application.","मक्का में खरपतवारों को प्रभावी ढंग से नियंत्रित करने के लिए सांस्कृतिक, यांत्रिक और रासायनिक तरीकों का संयोजन आवश्यक है। सांस्कृतिक प्रथाओं में उचित बीजबेड तैयारी, समय पर बुवाई, और मक्का के पौधों की सही घनत्व बनाए रखना शामिल है ताकि फसल खरपतवारों से अधिक प्रतिस्पर्धा कर सके। यांत्रिक तरीके जैसे अंतर-संस्कृति या हाथ से निकालना विशेष रूप से शुरुआती वृद्धि चरणों में प्रभावी हैं। रासायनिक नियंत्रण के लिए, प्री-इमर्जेंट हर्बिसाइड जैसे एट्राज़ीन, पेंडिमेथालिन, या S-मेटोलाच्लोर बुवाई के बाद लेकिन खरपतवार उगने से पहले लागू किए जा सकते हैं। यदि खरपतवार पहले ही उग चुके हों, तो पोस्ट-इमर्जेंट हर्बिसाइड जैसे निकोसुल्फुरॉन, मेसोट्रियोन, या 2,4-डी का उपयोग किया जाता है, हमेशा सुरक्षित और प्रभावी आवेदन के लिए लेबल निर्देशों का पालन करना चाहिए।",pest and disease management,MAIZE_STEM_BORER_TUNNELING,pest,stem_borer_tunneling,vegetative,kharif,severe,तना छेदक,If stem tunneling → check larvae → control stem borer
222,Makke me pillu kide ka kya upaay hain?,मक्के में पिल्लू कीड़े का क्या उपाय है?,What is the remedy for stem borer in maize?,"For stem tunneling insects in maize, primarily referring to stem borers (e.g., European corn borer, spotted stem borer), the remedy involves a multi-pronged strategy. At early growth stages (up to 3-4 weeks after emergence), granular insecticides containing active ingredients like chlorantraniliprole or carbofuran are highly effective when applied into the whorl of the maize plants, providing systemic action against feeding larvae. For later stages or larger infestations, foliar sprays with systemic action, such as those containing emamectin benzoate or spinosad, can be used. Cultural practices like destroying crop residues after harvest and deep plowing also significantly reduce overwintering pest populations.","मक्का में तना में सुरंग बनाने वाले कीटों, मुख्यतः स्टेम बोरर्स (जैसे यूरोपीय कॉर्न बोरर, स्पॉटेड स्टेम बोरर) के नियंत्रण के लिए बहुआयामी रणनीति अपनाई जाती है। शुरुआती वृद्धि चरणों (उभरने के 3-4 सप्ताह तक) में, च्लोरांट्रानिलिप्रोल या कार्बोफुरान जैसे सक्रिय तत्व वाले ग्रैन्युलर कीटनाशकों को मक्का के व्हर्ल में लगाने से कीटों पर प्रणालीगत प्रभाव पड़ता है और लार्वा को मारता है। बाद के चरणों या बड़े संक्रमण में, इमामेक्टिन बेंजोएट या स्पिनोसैड जैसे प्रणालीगत प्रभाव वाले फोलियर स्प्रे उपयोग किए जा सकते हैं। फसल अवशेषों को कटाई के बाद नष्ट करना और गहरी जुताई जैसी सांस्कृतिक प्रथाएँ भी सर्दियों में रहने वाले कीटों की संख्या कम करने में सहायक होती हैं।",pest and disease management,MAIZE_STEM_BORER_CONTROL_REPEAT,pest,stem_borer_control,vegetative,kharif,severe,पिल्लू,If pillu again → stem borer management
223,Makai me bhang kharpatwar ka kya upaay hain?,मक्का में भांग खरपतवार का क्या उपाय है?,What is the solution for cannabis weed (bhang) in maize?,"For stem borer insects in maize, an integrated pest management strategy is highly effective in Telangana. When infestation crosses 10%, a spray of chlorantraniliprole 18.5 SC at 150ml/ha is recommended. Other effective options include granular insecticides like carbofuran 3G @ 7.5 kg/ha applied into the plant whorls. Preventive measures such as seed treatment with imidacloprid or thiamethoxam, selecting resistant varieties, and timely removal and destruction of dead hearts also help significantly in controlling this pest. Cultural practices like destroying crop residues after harvest and deep summer ploughing can further reduce pest populations for the next crop.","तेलंगाना में स्टेम बोरर नियंत्रण के लिए एकीकृत कीट प्रबंधन (IPM) रणनीति प्रभावी है। जब संक्रमण 10% से अधिक हो, तो च्लोरांट्रानिलिप्रोल 18.5 एससी @ 150 मि.ली./हेक्टेयर का छिड़काव किया जाता है। अन्य प्रभावी विकल्पों में कार्बोफुरान 3G ग्रैन्युलर कीटनाशक @ 7.5 किग्रा/हेक्टेयर को पौधों के व्हर्ल में डालना शामिल है। रोकथाम के उपायों में इमिडाक्लोप्रिड या थायमेटोक्साम से बीज उपचार, प्रतिरोधी किस्मों का चयन, और डेड हार्ट्स को समय पर हटाना शामिल हैं। कटाई के बाद फसल अवशेषों को नष्ट करना और ग्रीष्मकालीन गहरी जुताई की प्रथाएँ अगले फसल में कीट आबादी को और कम करती हैं।",weed management,MAIZE_BHANG_WEED_CONTROL_REPEAT,weed,bhang_weed_control,vegetative,kharif,moderate,भांग,If bhang weed again → hand remove + herbicide
224,Makke me kahrpatwar ka kya upaay hain?,मक्के में खरपतवार का क्या उपाय है?,What is the remedy for weeds in maize?,"For cannabis weed (bhang, Cannabis sativa) infestation in maize to controlling it is crucial due to its vigorous competition for resources. The most effective method is manual removal or hand-pulling, especially when the cannabis plants are young and before they produce seeds, to prevent further spread. For chemical control, herbicides with active ingredients like atrazine (as pre-emergent or early post-emergent) or 2,4-D (as post-emergent for broadleaf weeds) can be used, depending on the maize growth stage and specific product labels. Always ensure the herbicide is safe for maize and follow application guidelines precisely to avoid crop injury.","मक्का में भांग (Cannabis sativa) की उपस्थिति को नियंत्रित करना अत्यंत महत्वपूर्ण है क्योंकि यह पोषक तत्वों और संसाधनों के लिए फसल से कड़ी प्रतिस्पर्धा करता है। सबसे प्रभावी तरीका मैनुअल रूप से हटाना या हाथ से खींचना है, विशेषकर जब भांग के पौधे छोटे हों और बीज बनाने से पहले, ताकि उनकी आगे फैलाव को रोका जा सके। रासायनिक नियंत्रण के लिए, सक्रिय तत्व वाले हर्बीसाइड जैसे एट्राजीन (pre-emergent या शुरुआती post-emergent) या 2,4-D (post-emergent, broadleaf खरपतवार के लिए) का उपयोग किया जा सकता है, जो मक्का के विकास चरण और उत्पाद लेबल पर निर्भर करता है। हमेशा सुनिश्चित करें कि हर्बीसाइड मक्का के लिए सुरक्षित हो और आवेदन निर्देशों का सटीक पालन करें।",weed management,MAIZE_WEED_CONTROL_REPEAT,weed,weed_control,all,all,moderate,खरपतवार,If weed repeat → pre + post control
225,Makke me spacing kya honi chahiye?,मक्के में दूरी कितनी होनी चाहिए?,What should be the spacing in maize?,"For controlling weeds in maize  an integrated approach combining cultural, mechanical, and chemical methods is most efficient. Cultural practices include proper seedbed preparation, timely sowing, and maintaining optimal maize plant density to allow the crop to outcompete weeds. Mechanical weeding through inter-cultivation or manual removal is effective, especially in the early growth stages (e.g., twice at 15-21 DAS and 30-42 DAS). For chemical control, pre-emergent herbicides such as atrazine (0.5 to 1.0 kg a.i. ha-1) or pendimethalin (1.0 to 1.5 kg/ha) can be applied after sowing but before weed emergence. If weeds have already appeared, post-emergent herbicides like tembotrione + atrazine or topramezone + atrazine are effective. It's recommended to combine pre-emergent application with post-emergent or hand weeding for better control. Always adhere strictly to the product label for dosage, application timing, and safety precautions.","मक्का में खरपतवार नियंत्रण के लिए एकीकृत दृष्टिकोण सबसे प्रभावी है, जिसमें सांस्कृतिक, यांत्रिक और रासायनिक विधियों का संयोजन शामिल है। सांस्कृतिक प्रथाओं में उचित बीज बिछाने की तैयारी, समय पर बुआई, और मक्का के पौधों की उचित संख्या बनाए रखना शामिल है, ताकि फसल खरपतवार पर हावी हो सके। यांत्रिक निराई जैसे इंटर-कल्टिवेशन या हाथ से हटाना विशेष रूप से शुरुआती वृद्धि चरणों में प्रभावी है (उदा., 15-21 और 30-42 दिन के अंतराल में दो बार)। रासायनिक नियंत्रण के लिए, pre-emergent हर्बीसाइड जैसे एट्राजीन (0.5–1.0 किग्रा a.i./हेक्टेयर) या पेंडिमेथालिन (1.0–1.5 किग्रा/हेक्टेयर) बुआई के बाद लेकिन खरपतवार निकलने से पहले लगाया जा सकता है। यदि खरपतवार पहले ही निकल चुके हैं, तो post-emergent हर्बीसाइड जैसे टेम्बोट्रियोन + एट्राजीन या टोप्रामेज़ोन + एट्राजीन प्रभावी होते हैं। बेहतर नियंत्रण के लिए pre-emergent और post-emergent या हाथ से निराई का संयोजन करना अनुशंसित है। हमेशा उत्पाद लेबल के अनुसार खुराक, आवेदन समय और सुरक्षा निर्देशों का सख्ती से पालन करें।",planting techniques,MAIZE_SPACING,crop_management,spacing_recommendation,sowing,kharif,info,दूरी,If spacing → recommend 60x20 cm
,,,,"For maize cultivation we proper spacing is crucial for optimal plant population, efficient light interception, and nutrient utilization, ultimately leading to higher yields. The recommended spacing for Kharif maize is generally 60 cm between rows and 20 cm between plants, which aims for an optimum plant population of approximately 33,333 plants per acre. Alternatively, a spacing of 75 cm between rows and 20 cm between plants can also be adopted, particularly if intercultivation operations are to be carried out using tractor-drawn implements, resulting in a slightly lower plant population of about 26,666 plants per acre. For specific types like sweet corn or baby corn, spacing might vary slightly, but the 60x20 cm or 75x20 cm rule is common for grain maize.","मक्का की खेती में उचित अंतराल अत्यंत महत्वपूर्ण है ताकि पौधों की संख्या सही रहे, रोशनी का अधिकतम उपयोग हो और पोषक तत्वों का कुशलता से अवशोषण हो, जिससे उपज बढ़े। खारीफ मक्का के लिए सामान्यतः पंक्तियों के बीच 60 सेमी और पौधों के बीच 20 सेमी का अंतराल सुझाया जाता है, जिससे लगभग 33,333 पौधे प्रति एकड़ की उपयुक्त संख्या प्राप्त होती है। वैकल्पिक रूप से, यदि ट्रैक्टर-खींचे उपकरण से अंतर-कृषि संचालन किया जाना है, तो पंक्तियों के बीच 75 सेमी और पौधों के बीच 20 सेमी का अंतराल अपनाया जा सकता है, जिससे पौधों की संख्या लगभग 26,666 प्रति एकड़ होगी। मीठा मक्का या बेबी कॉर्न जैसी विशेष किस्मों में अंतराल थोड़ी भिन्न हो सकता है, लेकिन अनाज मक्का के लिए 60x20 सेमी या 75x20 सेमी का नियम आमतौर पर प्रयोग में आता है।
",planting techniques,MAIZE_STEM_BORER_STAGE_ATTACK,pest,stem_borer_stage_attack,vegetative,kharif,severe,तना छेदक,If stage attack → highest at 20-40 DAS
226,Makka ka kaunsa growth stage mein stem borer zyada attack karta hai?,मक्का की किस वृद्धि अवस्था में तना छेदक का प्रकोप अधिक होता है?,Which growth stage of maize has the highest stem borer attack?,"The highest stem borer attack in maize generally occurs during the early vegetative to knee-high stage, approximately 20–40 days after sowing. At this stage, the plant is tender and the central whorl is actively growing, which makes it highly suitable for egg laying and larval development. After hatching, the larvae first scrape the leaf surface and then bore into the central whorl and stem. This internal feeding cuts the growing point and results in “dead heart” symptoms, where the central shoot dries and can be easily pulled out. Severe infestation at this stage reduces plant population and final yield. Field monitoring should begin 15 days after sowing and continue weekly to detect early infestation.","मक्का में तना छेदक का सर्वाधिक प्रकोप सामान्यतः प्रारंभिक शाकीय अवस्था से लेकर घुटना ऊँचाई अवस्था (बुवाई के लगभग 20–40 दिन बाद) के बीच देखा जाता है। इस समय पौधा कोमल होता है और बीच का व्हॉर्ल सक्रिय रूप से बढ़ रहा होता है, जिससे यह अंडे देने और लार्वा के विकास के लिए उपयुक्त बन जाता है। अंडे से निकलने के बाद लार्वा पहले पत्तियों की ऊपरी सतह को खुरचता है और फिर केंद्रीय व्हॉर्ल तथा तने में छेद कर अंदर चला जाता है। यह अंदरूनी भोजन बढ़ते बिंदु को नष्ट कर देता है, जिससे “डेड हार्ट” लक्षण दिखाई देते हैं, जिसमें बीच की पत्ती सूख जाती है और आसानी से बाहर निकल आती है। इस अवस्था में गंभीर प्रकोप से पौधों की संख्या घटती है और अंतिम उपज कम हो जाती है। बुवाई के 15 दिन बाद से खेत की निगरानी शुरू कर देनी चाहिए और साप्ताहिक निरीक्षण करना चाहिए।","Crop Stage, Stem Borer",MAIZE_KNEE_HIGH_STAGE_PEST,pest,knee_high_stage_pest,vegetative,kharif,severe,कनी हाई,If knee high stage → FAW and stem borer risk
227,Knee-high stage par kaun se pest ka khatra zyada hota hai?,घुटना ऊँचाई (कनी-हाई) अवस्था पर किस कीट का खतरा अधिक रहता है?,Which pest risk is highest at the knee-high stage in maize?,"At the knee-high stage, the highest pest risk in maize is from stem borer and fall armyworm. Both pests prefer the whorl region and feed on young folded leaves. Fall armyworm causes irregular holes, window-pane damage, and leaves frass (excreta) inside the whorl. Stem borer larvae may enter the stem after initial feeding. Damage to the growing point leads to stunted growth, poor plant vigor, and in severe cases, plant death. Regular scouting of 10–20 randomly selected plants per field is necessary to assess infestation level and take timely action when Economic Threshold Level is reached.","घुटना ऊँचाई अवस्था पर मक्का में सबसे अधिक कीट जोखिम तना छेदक और फॉल आर्मीवर्म से होता है। दोनों कीट व्हॉर्ल क्षेत्र को पसंद करते हैं और मुड़ी हुई कोमल पत्तियों को खाते हैं। फॉल आर्मीवर्म अनियमित छेद, विंडो-पेन जैसी क्षति करता है और व्हॉर्ल के अंदर मल (फ्रास) छोड़ता है। तना छेदक प्रारंभिक भोजन के बाद तने के अंदर प्रवेश कर सकता है। बढ़ते बिंदु को नुकसान होने से पौधे की वृद्धि रुक जाती है, पौधा कमजोर हो जाता है और गंभीर स्थिति में पौधा मर सकता है। प्रत्येक खेत में 10–20 यादृच्छिक पौधों का नियमित निरीक्षण करना आवश्यक है ताकि प्रकोप स्तर का आकलन कर आर्थिक क्षति स्तर (ETL) पर समय पर नियंत्रण किया जा सके।","Crop Stage, Pest Risk",MAIZE_TASSEL_STAGE_DISEASE,disease,tassel_stage_disease,tasseling,kharif,moderate,टैसल रोग,If tassel stage → leaf blight disease risk
